"time","species","w","N"
27,"Sprat",0.00435,8336158525130.94
28,"Sprat",0.00435,5448817247961.66
29,"Sprat",0.00435,3623522897255.32
30,"Sprat",0.00435,2449186546744.23
31,"Sprat",0.00435,1677816511327.39
32,"Sprat",0.00435,1165464867943.34
33,"Sprat",0.00435,826465728596.221
34,"Sprat",0.00435,606140199766.666
35,"Sprat",0.00435,467557109260.904
36,"Sprat",0.00435,385745583522.032
37,"Sprat",0.00435,344770528356.223
38,"Sprat",0.00435,335776944980.852
39,"Sprat",0.00435,355614814764.909
40,"Sprat",0.00435,406094172985.785
0,"Sprat",0.00484,84235311035.3157
1,"Sprat",0.00484,84236211621.1034
2,"Sprat",0.00484,84409942769.8718
3,"Sprat",0.00484,88370845960.1779
4,"Sprat",0.00484,119450821811.504
5,"Sprat",0.00484,272551223882.734
6,"Sprat",0.00484,806312473199.837
7,"Sprat",0.00484,2171633313944.97
8,"Sprat",0.00484,4800251359966.25
9,"Sprat",0.00484,8727695638149.76
10,"Sprat",0.00484,13469946658825.8
11,"Sprat",0.00484,18328606045872.5
12,"Sprat",0.00484,22770915474203.6
13,"Sprat",0.00484,26562136229752.2
14,"Sprat",0.00484,29700982716168
15,"Sprat",0.00484,32369262105414.5
16,"Sprat",0.00484,35086818259634
17,"Sprat",0.00484,39086387444663.4
18,"Sprat",0.00484,45911857095531.2
19,"Sprat",0.00484,54584117495496.2
20,"Sprat",0.00484,60109031242589.3
21,"Sprat",0.00484,58330248251226.8
22,"Sprat",0.00484,49843899033875.9
23,"Sprat",0.00484,38218484989226.3
24,"Sprat",0.00484,26953701126880.4
25,"Sprat",0.00484,17976145228373.8
26,"Sprat",0.00484,11655010270338.3
27,"Sprat",0.00484,7518800014150.59
28,"Sprat",0.00484,4901222516668.64
29,"Sprat",0.00484,3249615934434.92
30,"Sprat",0.00484,2190519426947.45
31,"Sprat",0.00484,1496939391461.63
32,"Sprat",0.00484,1036973849987.66
33,"Sprat",0.00484,732588575629.384
34,"Sprat",0.00484,534420185986.288
35,"Sprat",0.00484,409297401717.829
36,"Sprat",0.00484,334758372442.044
37,"Sprat",0.00484,296351098242.842
38,"Sprat",0.00484,285873332540.755
39,"Sprat",0.00484,300127536603.059
40,"Sprat",0.00484,340215506813.962
0,"Sprat",0.00537,73055982485.8285
1,"Sprat",0.00537,73057005056.3001
2,"Sprat",0.00537,73159755907.8161
3,"Sprat",0.00537,75880605167.7106
4,"Sprat",0.00537,98480310332.0741
5,"Sprat",0.00537,213730882084.569
6,"Sprat",0.00537,627855961179.321
7,"Sprat",0.00537,1717781619483.54
8,"Sprat",0.00537,3873077830679.76
9,"Sprat",0.00537,7171586442027.89
10,"Sprat",0.00537,11234875409555.8
11,"Sprat",0.00537,15461174988038.3
12,"Sprat",0.00537,19364445608093.7
13,"Sprat",0.00537,22714702613957.4
14,"Sprat",0.00537,25492829135183.4
15,"Sprat",0.00537,27838104932513.7
16,"Sprat",0.00537,30158201790785.6
17,"Sprat",0.00537,33447154182053.2
18,"Sprat",0.00537,39080963054695
19,"Sprat",0.00537,46567732812544.2
20,"Sprat",0.00537,51844475115165.8
21,"Sprat",0.00537,51006987995061.7
22,"Sprat",0.00537,44142632956382.6
23,"Sprat",0.00537,34199430819550.7
24,"Sprat",0.00537,24300717263390.3
25,"Sprat",0.00537,16277410998978
26,"Sprat",0.00537,10568141358941.6
27,"Sprat",0.00537,6811344533863
28,"Sprat",0.00537,4430063685114.26
29,"Sprat",0.00537,2929545808499.32
30,"Sprat",0.00537,1970088585129.65
31,"Sprat",0.00537,1343491568965.97
32,"Sprat",0.00537,928533959089.358
33,"Sprat",0.00537,653858093005.735
34,"Sprat",0.00537,474711167845.864
