"weight","time","species","N"
0.00572,2,"N.pout",50639117102189.2
0.00572,3,"N.pout",49648054801458.9
0.00572,4,"N.pout",49939380365269.2
0.00572,5,"N.pout",49970407761994.8
0.00572,6,"N.pout",49979056050433.4
0.00572,7,"N.pout",49978321084722.7
0.00572,8,"N.pout",49976787389495.4
0.00572,9,"N.pout",49976198147331.5
0.00572,10,"N.pout",49976233121271.2
0.00572,11,"N.pout",49976418823233
0.00572,12,"N.pout",49976573895866.6
0.00572,13,"N.pout",49976674349185.7
0.00572,14,"N.pout",49976735756166.3
0.00572,15,"N.pout",49976773606958
0.00572,16,"N.pout",49976797441733.5
0.00572,17,"N.pout",49976812662540.5
0.00572,18,"N.pout",49976822432554.5
0.00572,19,"N.pout",49976828706521.9
0.00572,20,"N.pout",49976832731858.2
0.00572,21,"N.pout",49976835312512.7
0.00572,22,"N.pout",49976836966382.7
0.00572,23,"N.pout",49976838026208.4
0.00572,24,"N.pout",49976838705373
0.00572,25,"N.pout",49976839140614
0.00572,26,"N.pout",49976839419542.5
0.00572,27,"N.pout",49976839598297.8
0.00572,28,"N.pout",49976839712855.6
0.00572,29,"N.pout",49976839786271.5
0.00572,30,"N.pout",49976839833320.9
0.00572,31,"N.pout",49976839863473
0.00572,32,"N.pout",49976839882796.4
0.00572,33,"N.pout",49976839895180
0.00572,34,"N.pout",49976839903116.1
0.00572,35,"N.pout",49976839908202.1
0.00572,36,"N.pout",49976839911461.5
0.00572,37,"N.pout",49976839913550.4
0.00572,38,"N.pout",49976839914889
0.00572,39,"N.pout",49976839915747
0.00572,40,"N.pout",49976839916296.7
0.00643,0,"N.pout",14717773.0175684
0.00643,1,"N.pout",4890737458352.78
0.00643,2,"N.pout",45716972117236.8
0.00643,3,"N.pout",44577843395297.2
0.00643,4,"N.pout",44877304110913.8
0.00643,5,"N.pout",44914407811469.9
0.00643,6,"N.pout",44925526420214.8
0.00643,7,"N.pout",44925705452629.7
0.00643,8,"N.pout",44924364316206
0.00643,9,"N.pout",44923753260839.6
0.00643,10,"N.pout",44923749624517.1
0.00643,11,"N.pout",44923915567700.6
0.00643,12,"N.pout",44924062874897.6
0.00643,13,"N.pout",44924160140891.6
0.00643,14,"N.pout",44924219860750.7
0.00643,15,"N.pout",44924256620494.8
0.00643,16,"N.pout",44924279715227.1
0.00643,17,"N.pout",44924294442675.7
0.00643,18,"N.pout",44924303891133.9
0.00643,19,"N.pout",44924309958208.4
0.00643,20,"N.pout",44924313851038.9
0.00643,21,"N.pout",44924316346874.9
0.00643,22,"N.pout",44924317946419.3
0.00643,23,"N.pout",44924318971431.6
0.00643,24,"N.pout",44924319628282.2
0.00643,25,"N.pout",44924320049220.6
0.00643,26,"N.pout",44924320318982.2
0.00643,27,"N.pout",44924320491862.5
0.00643,28,"N.pout",44924320602655.1
0.00643,29,"N.pout",44924320673657.9
0.00643,30,"N.pout",44924320719160.9
0.00643,31,"N.pout",44924320748322
0.00643,32,"N.pout",44924320767010.3
0.00643,33,"N.pout",44924320778986.9
0.00643,34,"N.pout",44924320786662.1
0.00643,35,"N.pout",44924320791581
0.00643,36,"N.pout",44924320794733.3
0.00643,37,"N.pout",44924320796753.5
0.00643,38,"N.pout",44924320798048.1
0.00643,39,"N.pout",44924320798877.8
0.00643,40,"N.pout",44924320799409.5
0.00722,0,"N.pout",13076613.8550926
0.00722,1,"N.pout",4388766283257.66
0.00722,2,"N.pout",41238396233705.9
0.00722,3,"N.pout",39964976681380.4
0.00722,4,"N.pout",40267185122400.9
0.00722,5,"N.pout",40309403348554.3
