"time","species","weight","N"
1.3,"Sandeel",0.001,6842909247963.65
1.4,"Sandeel",0.001,6842598838622.72
1.5,"Sandeel",0.001,6842338992401.05
1.6,"Sandeel",0.001,6842138523141.32
1.7,"Sandeel",0.001,6842003879522.3
1.8,"Sandeel",0.001,6841938949709.75
1.9,"Sandeel",0.001,6841945078172.99
2,"Sandeel",0.001,6842021200188.64
2.1,"Sandeel",0.001,6842164047095.66
2.2,"Sandeel",0.001,6842368406191.99
2.3,"Sandeel",0.001,6842627430933.67
2.4,"Sandeel",0.001,6842932995638.65
2.5,"Sandeel",0.001,6843276081769.36
2.6,"Sandeel",0.001,6843647175934.73
2.7,"Sandeel",0.001,6844036656195.98
2.8,"Sandeel",0.001,6844435143927.01
2.9,"Sandeel",0.001,6844833802725.68
3,"Sandeel",0.001,6845224572375.36
3.1,"Sandeel",0.001,6845600333195.38
3.2,"Sandeel",0.001,6845955003083.41
3.3,"Sandeel",0.001,6846283575246.47
3.4,"Sandeel",0.001,6846582108473.08
3.5,"Sandeel",0.001,6846847683571.3
3.6,"Sandeel",0.001,6847078339357.32
3.7,"Sandeel",0.001,6847272999685.19
3.8,"Sandeel",0.001,6847431400040.99
3.9,"Sandeel",0.001,6847554018881.77
4,"Sandeel",0.001,6847642015850.26
4.1,"Sandeel",0.001,6847697176734.26
4.2,"Sandeel",0.001,6847721863736.57
4.3,"Sandeel",0.001,6847718969088.27
4.4,"Sandeel",0.001,6847691869818.07
4.5,"Sandeel",0.001,6847644381107.72
4.6,"Sandeel",0.001,6847580704916.41
4.7,"Sandeel",0.001,6847505369695.62
4.8,"Sandeel",0.001,6847423156661.53
4.9,"Sandeel",0.001,6847339008909.53
5,"Sandeel",0.001,6847257921939.46
5.1,"Sandeel",0.001,6847184817594.22
5.2,"Sandeel",0.001,6847124407145.43
5.3,"Sandeel",0.001,6847081052249.04
5.4,"Sandeel",0.001,6847058633938.9
5.5,"Sandeel",0.001,6847060439433.1
5.6,"Sandeel",0.001,6847089074543.13
5.7,"Sandeel",0.001,6847146406504.42
5.8,"Sandeel",0.001,6847233538799.75
5.9,"Sandeel",0.001,6847350816616.67
6,"Sandeel",0.001,6847497859330.15
6.1,"Sandeel",0.001,6847673614959.92
6.2,"Sandeel",0.001,6847876430871.33
6.3,"Sandeel",0.001,6848104134934.02
6.4,"Sandeel",0.001,6848354121765.53
6.5,"Sandeel",0.001,6848623439423.11
6.6,"Sandeel",0.001,6848908872842.03
6.7,"Sandeel",0.001,6849207021341.27
6.8,"Sandeel",0.001,6849514368523.71
6.9,"Sandeel",0.001,6849827343793.3
7,"Sandeel",0.001,6850142375420.46
7.1,"Sandeel",0.001,6850455935573.91
7.2,"Sandeel",0.001,6850764578009.12
7.3,"Sandeel",0.001,6851064969214.45
7.4,"Sandeel",0.001,6851353913853.59
7.5,"Sandeel",0.001,6851628375392.64
7.6,"Sandeel",0.001,6851885492931.14
7.7,"Sandeel",0.001,6852122595479.23
7.8,"Sandeel",0.001,6852337215197.31
7.9,"Sandeel",0.001,6852527101350.75
8,"Sandeel",0.001,6852690236819.77
8.1,"Sandeel",0.001,6852824858856
8.2,"Sandeel",0.001,6852929485344.19
8.3,"Sandeel",0.001,6853002947133.01
8.4,"Sandeel",0.001,6853044426120.05
8.5,"Sandeel",0.001,6853053497831.33
8.6,"Sandeel",0.001,6853030176347.97
8.7,"Sandeel",0.001,6852974958701.34
8.8,"Sandeel",0.001,6852888865338.97
8.9,"Sandeel",0.001,6852773472970.22
9,"Sandeel",0.001,6852630936020.68
9.1,"Sandeel",0.001,6852463993050.02
9.2,"Sandeel",0.001,6852275954834.65
9.3,"Sandeel",0.001,6852070671432.44
9.4,"Sandeel",0.001,6851852476490.64
9.5,"Sandeel",0.001,6851626108359.66
9.6,"Sandeel",0.001,6851396609197.3
9.7,"Sandeel",0.001,6851169205054.47
9.8,"Sandeel",0.001,6850949171707.04
9.9,"Sandeel",0.001,6850741692475.57
10,"Sandeel",0.001,6850551715216.62
10.1,"Sandeel",0.001,6850383815920.89
10.2,"Sandeel",0.001,6850242075880.13
10.3,"Sandeel",0.001,6850129978275.9
10.4,"Sandeel",0.001,6850050328476.03
10.5,"Sandeel",0.001,6850005200517.05
10.6,"Sandeel",0.001,6849995910413.54
10.7,"Sandeel",0.001,6850023015238.02
10.8,"Sandeel",0.001,6850086335479.76
10.9,"Sandeel",0.001,6850184997094.15
11,"Sandeel",0.001,6850317488940.38
11.1,"Sandeel",0.001,6850481730996.99
11.2,"Sandeel",0.001,6850675148839.12
11.3,"Sandeel",0.001,6850894750324.69
11.4,"Sandeel",0.001,6851137201193.4
11.5,"Sandeel",0.001,6851398897215.4
11.6,"Sandeel",0.001,6851676031488.95
11.7,"Sandeel",0.001,6851964656333.45
11.8,"Sandeel",0.001,6852260739840.7
11.9,"Sandeel",0.001,6852560217480.91
12,"Sandeel",0.001,6852859039232.92
12.1,"Sandeel",0.001,6853153212608.27
12.2,"Sandeel",0.001,6853438841795.91
12.3,"Sandeel",0.001,6853712163094.65
12.4,"Sandeel",0.001,6853969576908.4
12.5,"Sandeel",0.001,6854207676869.7
12.6,"Sandeel",0.001,6854423277063
12.7,"Sandeel",0.001,6854613438721.79
12.8,"Sandeel",0.001,6854775498026.75
12.9,"Sandeel",0.001,6854907096619.17
13,"Sandeel",0.001,6855006216102.65
13.1,"Sandeel",0.001,6855071217155.48
13.2,"Sandeel",0.001,6855100883001.65
13.3,"Sandeel",0.001,6855094466025.87
13.4,"Sandeel",0.001,6855051735405.49
13.5,"Sandeel",0.001,6854973022888.83
13.6,"Sandeel",0.001,6854859263338.66
13.7,"Sandeel",0.001,6854712026397.23
13.8,"Sandeel",0.001,6854533535594.74
13.9,"Sandeel",0.001,6854326671387.56
14,"Sandeel",0.001,6854094954972.06
14.1,"Sandeel",0.001,6853842510306.43
